,Unnamed: 0,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_z,tenure_z,TotalCharges_z
3807,3813,Male,Yes,Yes,Yes,69,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,105.0,7297.75,No,1.3363253839782172,1.4903413298592119,2.2123122898783416
6491,6500,Female,Yes,No,No,21,No,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Mailed check,35.1,770.4,No,-0.987181607554912,-0.46536881140368175,-0.6674727104441635
198,198,Male,Yes,Yes,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),112.25,8041.65,No,1.577318598407619,1.6125732136881425,2.5405116451664616
1999,2004,Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,89.85,2165.05,Yes,0.8327326669291911,-0.3431369275747509,-0.05217061224201689
5571,5580,Male,Yes,No,No,48,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.95,1004.5,No,-1.4907743246039378,0.6347181430566958,-0.5641907248641811
5363,5372,Female,Yes,No,No,50,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.95,5222.35,No,1.3346633618097385,0.7162060656093164,1.296671824809159
2592,2597,Male,Yes,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,109.6,7854.15,No,1.4892314234782513,1.5718292524118322,2.4577889954601533
4927,4935,Male,Yes,Yes,No,45,Yes,Yes,No,No,No,No,No,No,No,One year,No,Credit card (automatic),24.7,1174.35,No,-1.3328822185984677,0.512486259227765,-0.48925503391689357
2215,2220,Male,Yes,Yes,No,72,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),79.35,5753.25,No,0.48370801154867815,1.6125732136881425,1.5308982500309134
3526,3532,Female,Yes,No,No,15,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,59.45,892.65,Yes,-0.17777681150581762,-0.7098325790615434,-0.6135375428356507
5310,5319,Female,Yes,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,109.75,8075.35,No,1.4942174899836873,1.6125732136881425,2.555379662740342
6995,7006,Male,Yes,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,4036.85,Yes,1.3197051622934308,0.3087664528462136,0.7736440849327422
4486,4494,Male,Yes,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,84.3,235.05,No,0.6482482062280629,-1.1987601143772668,-0.9036624198856141
5116,5124,Female,Yes,Yes,Yes,25,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,20.1,486.05,No,-1.485788258098502,-0.3023929662984406,-0.7929243661454365
172,172,Male,Yes,Yes,No,14,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,81.95,1181.75,No,0.5701331643095673,-0.7505765403378537,-0.4859902466751512
4900,4908,Female,Yes,No,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.15,3152.5,Yes,1.374551893853226,-0.18016108246950976,0.38347995017128356
5281,5290,Female,Yes,Yes,Yes,71,No,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),59.7,4122.65,No,-0.16946670066342445,1.5718292524118322,0.8114979694383486
6782,6793,Male,Yes,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),108.4,7767.25,No,1.4493428914347644,1.6125732136881425,2.419449804742937
5033,5041,Male,Yes,Yes,No,20,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.65,417.5,No,-1.4675060142452372,-0.506112772679992,-0.8231677668780627
954,957,Male,Yes,No,No,4,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,56.75,245.15,No,-0.2675260086036639,-1.1580161531009565,-0.899206426488101
2131,2136,Male,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.0,1430.05,No,0.8709591768041999,-0.7098325790615434,-0.3764433990907444
5657,5666,Male,Yes,Yes,No,35,No,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),53.15,1930.9,No,-0.38719160473412556,0.10504664646466222,-0.15547465719525438
3593,3599,Female,Yes,Yes,Yes,45,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,81.3,3541.1,No,0.5485268761193449,0.512486259227765,0.5549253991092638
4665,4673,Female,Yes,No,No,25,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,102.8,2660.2,Yes,1.2631964085651572,-0.3023929662984406,0.16628336110240116
6046,6055,Female,Yes,No,No,6,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.0,340.4,No,-0.32569678450041606,-1.076528230548336,-0.8571833204372965
3791,3797,Male,Yes,Yes,No,43,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,80.2,3581.6,No,0.5119623884128152,0.4309983366751445,0.5727934914458264
2448,2453,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.45,294.45,No,0.32082983903777235,-1.1580161531009565,-0.8774558844586557
6429,6438,Male,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,74.4,Yes,0.3191678168692938,-1.2802480369298874,-0.9745391861539788
4339,4346,Female,Yes,Yes,No,42,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),66.4,2727.8,No,0.0532442699127125,0.3902543753988342,0.19610763374318224
5324,5333,Female,Yes,Yes,Yes,13,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,88.35,1222.8,Yes,0.7828720018748321,-0.791320501614164,-0.46787950123278355
879,881,Male,Yes,No,No,26,Yes,No,No,No,No,No,No,No,No,One year,No,Credit card (automatic),19.3,504.2,No,-1.5123806127941604,-0.26164900502213034,-0.7849168136538659
4963,4971,Female,Yes,No,No,18,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.55,389.25,No,-1.504070501951767,-0.5876006952326126,-0.8356313127671464
696,697,Male,Yes,Yes,Yes,3,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,50.15,168.15,Yes,-0.48691293484284354,-1.1987601143772668,-0.9331778613008248
1792,1797,Female,Yes,No,No,30,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.4,578.5,No,-1.509056568457203,-0.09867315991688919,-0.7521365849969129
4581,4589,Female,Yes,Yes,Yes,10,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,20.15,220.8,No,-1.4841262359300234,-0.9135523854430948,-0.9099493412632935
3428,3434,Female,Yes,No,No,11,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,54.6,617.85,No,-0.33899296184824507,-0.8728084241667845,-0.7347758582452157
6747,6758,Male,Yes,No,No,27,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),19.4,460.25,No,-1.509056568457203,-0.22090504374582004,-0.8043070027450245
3389,3395,Male,Yes,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),90.7,5586.45,No,0.8609870437933281,1.2051336009250397,1.4573081808521817
2406,2411,Male,Yes,No,Yes,60,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,84.95,4984.85,No,0.6698544944182854,1.1236456783724194,1.1918898018478357
6714,6724,Female,Yes,No,No,64,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),70.2,4481.0,Yes,0.17955795471708852,1.2866215234776603,0.9695974975570446
3218,3223,Male,Yes,Yes,No,3,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),29.8,94.4,No,-1.1633559574136474,-1.1987601143772668,-0.9657154368519727
6729,6739,Male,Yes,No,No,4,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.9,238.5,No,-0.2957803854678007,-1.1580161531009565,-0.9021403231310181
2716,2721,Male,Yes,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.25,793.55,Yes,0.48038396721172105,-0.9135523854430948,-0.6572592206270914
408,408,Female,Yes,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.9,19.9,Yes,-1.4924363467724167,-1.2802480369298874,-0.9985839030019457
3941,3948,Female,Yes,Yes,Yes,56,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),88.9,4968.0,No,0.8011542457280975,0.9606698332671781,1.1844557930608954
4387,4395,Female,Yes,Yes,Yes,69,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.95,7446.9,Yes,1.301422918440166,1.4903413298592119,2.2781154002980526
6025,6034,Female,Yes,No,No,7,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.25,129.15,No,-1.4808021915930663,-1.0357842692720256,-0.9503841724397369
1450,1455,Female,Yes,Yes,No,36,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),106.05,3834.4,No,1.3712278495162684,0.1457906077409725,0.6843256826231846
6421,6430,Female,Yes,Yes,Yes,16,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.35,275.9,No,-1.5107185906256815,-0.6690886177852331,-0.8856399119362665
4100,4107,Female,Yes,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),94.45,6921.7,No,0.9856387064292257,1.6125732136881425,2.0464037436273697
2792,2797,Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.95,329.95,Yes,1.201701588331448,-1.1987601143772668,-0.8617937294475948
3654,3660,Male,Yes,No,No,7,No,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),35.5,249.55,No,-0.9738854302070831,-1.0357842692720256,-0.8972652016416597
6148,6157,Male,Yes,No,No,3,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.85,64.55,Yes,-1.494098368940895,-1.1987601143772668,-0.9788848826852169
2701,2706,Male,Yes,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,76.4,151.8,Yes,0.38564870360843917,-1.2395040756535771,-0.9403912763552148
6806,6817,Male,Yes,Yes,No,72,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),25.85,1872.2,No,-1.2946557087234591,1.6125732136881425,-0.18137236139664256
1,1,Male,Yes,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,-0.2608779199297493,0.06430268518835193,-0.17373981825040724
7009,7020,Male,Yes,Yes,Yes,12,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.2,239.0,No,-1.5157046571311175,-0.8320644628904743,-0.901919729398468
1480,1485,Male,Yes,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.7,2082.95,Yes,1.0604297040107642,-0.42462485012737144,-0.08839210312675246
33,33,Male,Yes,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,-1.4824642137615447,-1.2802480369298874,-0.9984515467624158
2540,2545,Female,Yes,Yes,Yes,62,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),70.75,4263.45,No,0.1978401985703534,1.2051336009250397,0.8736171645244722
5859,5868,Female,Yes,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.0,44.0,No,-0.6913416615657154,-1.2802480369298874,-0.9879512850930283
1964,1969,Female,Yes,No,No,60,No,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,53.6,3237.05,No,-0.3722334052178177,1.1236456783724194,0.4207823503455148
3409,3415,Female,Yes,Yes,Yes,68,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,83.0,5685.8,Yes,0.6050356298476185,1.4495973685829016,1.5011401555098975
4573,4581,Male,Yes,No,No,58,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,20.8,1212.25,No,-1.4625199477398012,1.0421577558197987,-0.4725340289895918
4536,4544,Male,Yes,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.55,80.55,Yes,0.5235965435921655,-1.2802480369298874,-0.9718258832436119
6315,6324,Female,Yes,Yes,Yes,9,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,75.85,647.5,No,0.3673664597551738,-0.9542963467194051,-0.7216946499049915
3937,3944,Female,Yes,Yes,Yes,9,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.25,172.35,No,-1.4808021915930663,-0.9542963467194051,-0.9313248739474036
609,610,Male,Yes,Yes,Yes,9,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.95,248.95,Yes,-1.1583698909082112,-0.9542963467194051,-0.8975299141207198
14,14,Male,Yes,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,1.3529456056630036,-0.3023929662984406,0.17768805707524432
1391,1396,Female,Yes,No,No,64,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),100.05,6254.2,Yes,1.1717851892988325,1.2866215234776603,1.7519111106729133
6536,6545,Female,Yes,No,No,9,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.65,703.55,Yes,0.327477927711687,-0.9542963467194051,-0.6969660924861192
3906,3913,Male,Yes,Yes,No,72,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),24.8,1874.3,No,-1.3295581742615106,1.6125732136881425,-0.18044586771993196
1139,1143,Male,Yes,Yes,No,18,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),56.8,1074.65,No,-0.2658639864351854,-0.5876006952326126,-0.5332414241873943
6114,6123,Male,Yes,No,No,65,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,93.55,6069.25,No,0.95572230739661,1.3273654847539706,1.670313489002611
2233,2238,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,95.85,95.85,No,1.0321753271466272,-1.2802480369298874,-0.9650757150275773
1602,1607,Male,Yes,Yes,No,13,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.05,1169.35,Yes,0.8061403122335331,-0.791320501614164,-0.49146097124239513
2957,2962,Female,Yes,Yes,Yes,3,No,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,31.0,95.05,Yes,-1.12346742537016,-1.1987601143772668,-0.9654286649996574
110,110,Male,Yes,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,1.0620917261792426,0.9199258719908678,1.303973477356569
3755,3761,Female,Yes,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),82.65,5919.35,No,0.5934014746682683,1.6125732136881425,1.604179487984075
133,133,Male,Yes,No,No,1,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,-0.9755474523755615,-1.2802480369298874,-0.991723437919636
4051,4058,Female,Yes,Yes,Yes,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,84.85,3303.05,Yes,0.6665304500813278,0.3087664528462136,0.44990072304213524
4635,4643,Male,Yes,No,No,3,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,65.25,209.9,No,0.015017760037703748,-1.1987601143772668,-0.9147582846328869
914,916,Female,Yes,No,No,23,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.4,1643.55,No,0.35240826023886646,-0.38388088885106114,-0.2822498752918284
4655,4663,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,321.75,Yes,0.3357880385540801,-1.1580161531009565,-0.8654114666614173
5238,5247,Female,Yes,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,94.55,2724.6,Yes,0.9889627507661827,-0.22090504374582004,0.19469583385486114
1365,1370,Female,Yes,No,No,27,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),20.25,538.2,No,-1.4808021915930663,-0.22090504374582004,-0.7699164398404553
1312,1316,Male,Yes,No,No,7,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.95,147.5,No,-1.4907743246039378,-1.0357842692720256,-0.9422883824551462
3921,3928,Female,Yes,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.95,1745.5,No,1.0354993714835847,-0.5876006952326126,-0.2372708132248518
6277,6286,Female,Yes,No,Yes,8,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.05,163.6,No,-1.4874502802669807,-0.9950403079957154,-0.9351852642670313
163,163,Male,Yes,No,No,53,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),73.9,3958.25,No,0.30254759518450747,0.8384379494382472,0.7389667501758579
407,407,Male,Yes,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.95,2861.45,No,0.9690184847444393,-0.01718523736426863,0.2550723384538384
3681,3687,Male,Yes,Yes,Yes,19,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),100.0,1888.65,Yes,1.1701231671303538,-0.5468567339563023,-0.17411482759574246
3990,3997,Female,Yes,Yes,No,69,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),61.45,4131.2,No,-0.11129592476667229,1.4903413298592119,0.8152701222649563
1960,1965,Male,Yes,No,No,24,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.55,1210.4,Yes,-0.5068572008645872,-0.3431369275747509,-0.47335022580002734
3794,3800,Female,Yes,No,Yes,66,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),90.95,5930.05,No,0.8692971546357213,1.368109446030281,1.6089001938606482
3490,3496,Male,Yes,No,No,25,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),74.3,1952.25,No,0.31584377253233625,-0.3023929662984406,-0.14605530481536283
3288,3293,Female,Yes,No,No,5,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,64.0,370.25,No,-0.026532794174262082,-1.1172721918246462,-0.8440138746040523
5925,5934,Female,Yes,Yes,No,26,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,93.85,2381.55,Yes,0.9656944404074818,-0.26164900502213034,0.0433464739522001
2198,2203,Male,Yes,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),104.9,7537.5,No,1.33300133964126,1.6125732136881425,2.3180869846361407
3146,3151,Male,Yes,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,75.1,1151.55,No,0.3424361272279943,-0.7098325790615434,-0.4993141081211806
1549,1554,Male,Yes,No,No,26,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.9,518.3,No,-1.4591959034028439,-0.26164900502213034,-0.7786960703959516
369,369,Male,Yes,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),112.6,8126.65,No,1.5889527535869692,1.6125732136881425,2.5780125796999878
3656,3662,Female,Yes,No,No,9,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.15,416.45,Yes,-0.6531151516907069,-0.9542963467194051,-0.823631013716418
5140,5148,Male,Yes,Yes,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,99.35,6347.55,No,1.1485168789401314,1.3273654847539706,1.7930959605400274
3276,3281,Male,Yes,Yes,No,49,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,94.8,4690.65,No,0.9972728616085759,0.6754621043330061,1.0620924496153243
4400,4408,Female,Yes,Yes,Yes,72,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),71.45,5025.85,No,0.22110850892905437,1.6125732136881425,1.2099784879169484
1451,1456,Female,Yes,Yes,No,16,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.0,1534.75,Yes,1.1701231671303538,-0.6690886177852331,-0.330251071494742
6007,6016,Male,Yes,No,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,108.45,7176.55,Yes,1.451004913603243,1.4495973685829016,2.1588403691081837
3114,3119,Female,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.95,2628.6,Yes,0.703094937787858,-0.01718523736426863,0.15234183720523142
6413,6422,Male,Yes,No,No,52,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Electronic check,53.75,2790.65,No,-0.3672473387123819,0.797693988161937,0.22383626592473665
6194,6203,Female,Yes,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),105.1,7234.8,No,1.3396494283151743,1.4903413298592119,2.184539538950277
2071,2076,Female,Yes,No,No,14,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),59.1,772.85,No,-0.1894109666851681,-0.7505765403378537,-0.6663918011546678
5155,5163,Male,Yes,Yes,Yes,19,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,34.95,610.2,No,-0.9921676740603479,-0.5468567339563023,-0.7381509423532331
3257,3262,Female,Yes,Yes,Yes,34,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,87.45,2874.15,Yes,0.752955602842217,0.06430268518835193,0.2606754192606125
5937,5946,Female,Yes,No,No,42,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),73.9,3160.55,Yes,0.30254759518450747,0.3902543753988342,0.38703150926534113
485,485,Male,Yes,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),84.5,6130.85,No,0.6548962949019775,1.6125732136881425,1.6974906368527902
4034,4041,Male,Yes,No,No,46,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),60.75,2893.4,No,-0.13456423512537324,0.5532302205040753,0.26916827796379345
2210,2215,Female,Yes,Yes,No,70,No,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),49.85,3370.2,No,-0.4968850678537152,1.5310852911355222,0.47952646132362087
4243,4250,Male,Yes,No,No,63,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,No,Credit card (automatic),104.5,6590.8,No,1.3197051622934308,1.24587756220135,1.9004148114256774
3958,3965,Female,Yes,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,106.5,5621.85,No,1.3861860490325761,0.797693988161937,1.4729262171167328
119,119,Male,Yes,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No,0.6781646052606785,-0.22090504374582004,-0.05810458364761617
995,998,Male,Yes,Yes,No,72,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.7,1492.1,No,-1.4658439920767583,1.6125732136881425,-0.34906771688127025
5251,5260,Female,Yes,No,No,33,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.65,2989.6,No,0.8593250216248496,0.02355872391204165,0.31161051210644314
4351,4358,Male,Yes,Yes,Yes,13,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,64.75,877.35,No,-0.001602461647082585,-0.791320501614164,-0.6202877110516855
5514,5523,Female,Yes,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.2,477.55,No,0.14631751134751586,-1.0357842692720256,-0.7966744595987891
1193,1197,Male,Yes,Yes,No,15,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),19.45,340.85,No,-1.5073945462887242,-0.7098325790615434,-0.8569847860780014
4492,4500,Male,Yes,Yes,Yes,61,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),103.9,6449.15,No,1.2997608962716873,1.1643896396487294,1.8379206069942187
3167,3172,Male,Yes,No,Yes,25,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.9,2448.75,Yes,1.033837349315106,-0.3023929662984406,0.07299427160694082
432,432,Male,Yes,No,No,2,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,53.45,119.5,No,-0.3772194717232536,-1.2395040756535771,-0.9546416314779549
4959,4967,Female,Yes,No,No,3,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,63.6,155.65,Yes,-0.039828971522091104,-1.1987601143772668,-0.9386927046145787
4726,4734,Male,Yes,Yes,Yes,39,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),80.0,3182.95,Yes,0.5053142997389005,0.2680224915699033,0.39691410848358794
909,911,Female,Yes,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),89.0,1288.3,No,0.8044782900650546,-0.7098325790615434,-0.4389817222687133
